domain,current_coverage,documents_present,coverage_rating,priority,remaining_acquisition_target,notes
Infrastructure governance,"Full QCC ISGL umbrella guideline, catalogue, Appendix III and selected discipline standards","ISGL umbrella 2nd ed 2017; ISGL-CATALOG; ISGL-01; ISGL-02",strong,high,"Determine current/superseded status and acquire later amendments or replacement framework","Full umbrella guideline acquired in Drive Batch 1; legacy authority names require normalization"
Road geometric design,"Urban Street Design Manual; pavement, structures, road-work specifications and ROW documents","DMT-04; TR-513; TR-516; TR-542-1; TR-542-2; ROW-602",moderate,critical,"TR-514 Road Geometric Design Manual, junction design and standard details","TR-542-1 closes construction specifications but does not replace geometric design criteria"
Traffic engineering,"ADG 39/2024 Transport Impact Study Guidelines, selected transport-series standards and street manual","ADG-039-2024; ISGL-08; ISGL-09; ISGL-10; DMT-04; TR-542-1",moderate,critical,"Current modelling requirements, signal design, signs/markings, temporary traffic management and road-safety audit procedures","TIS guidance acquired; operational ITC/Abu Dhabi Mobility material remains missing"
As-built and geospatial submission,"Unified As-Built GeoSpatial Data Submission Standards, Final 30 March 2022","DMT-05",strong,critical,"Actual current IDAS/ITC manuals, portal requirements, schemas and submission templates","DMT-05 is not verified as an IDAS V7/2024 manual"
Urban design,"Capital Development Code, Community Facility Planning Standards, Architectural Facade Design Manual and Urban Street Design Manual","Capital Development Code; DMT-01; Facade Manual V1.0; DMT-04",strong,high,"Municipality-specific supplements, later amendments and implementation circulars","Core planning, development-control and facade references acquired"
Public realm and streetscape,"Public Realm Design Manual V3 2022, map-update variant, Urban Street Design Manual, parks specifications and irrigation manual","PRDM V3; PRDM map update; DMT-04; Parks Specification 2023; WA-725-1",strong,high,"Confirm map-update supersession relationship and acquire standard drawings/templates","Major public-realm and streetscape gap closed"
Community facilities,"Community Facility Planning Standards","DMT-01",moderate,high,"Facility-type design standards and authority approval requirements","Planning coverage is broader than detailed design coverage"
Mosques,"Mosque Development Regulations Volumes 1-3 and Appendices 1-3","Mosque Planning; Design; Operations; Estidama; Prototypes; Vernacular Study",strong,medium,"Mosque Regulations user guide, current Awqaf submission requirements and amendment status","Dedicated planning/design/operations family acquired"
Retail and malls,"Retail/mall concepts referenced in planning material","DMT-01",reference-only,medium,"Mall and major-retail planning, access, servicing, parking, fire/life-safety and transport requirements","No dedicated mall-design standard acquired yet"
Public toilets,"Dedicated planning and regulation manual","DMT-02",strong,medium,"Check for later revisions and standard drawings/templates","Official document acquired"
Waste facilities,"Waste-bin planning manual Part 1 and waste-management ISGL item","DMT-03; ISGL-18",moderate,medium,"Remaining waste-bin manual parts and current Tadweer requirements","Part 1 alone may not be complete"
Water and utility regulation,"Water, metering, recycled-water and selected ISGL utility documents","DOE-01; DOE-02; DOE-03; ISGL-13; ISGL-14",moderate,critical,"Current TAQA Distribution/AADC/ADDC design manuals, standard drawings, NOC requirements and asset codes","Two AADC source URLs returned invalid responses"
Drainage and sewerage,"Selected drainage and water-related ISGL standards","ISGL-03; ISGL-04; ISGL-05; ISGL-19",moderate,critical,"Current ADSSC/Tadweer/DMT sewerage and stormwater design manuals, specifications and standard drawings","Confirm ownership and current authority naming"
Electrical distribution,"Selected energy/telecom ISGL documents and DoE regulations","ISGL-15; ISGL-16; ISGL-17; DOE-01",partial,critical,"TAQA Distribution electrical design regulations, substation requirements, cable corridors, NOC and inspection documents","Developer-side detailed design corpus incomplete"
Telecommunications,"Selected telecom ISGL document","ISGL-17",partial,high,"e&/du corridor, chamber, duct, separation and NOC submission standards","Especially relevant to DU corridor changes"
Environment and sustainability,"Environmental ISGL documents and Estidama rating systems","ISGL-15; ISGL-16; ESTIDAMA-02; ESTIDAMA-03",moderate,medium,"Current Estidama updates, Pearl Building Rating System and environmental permit requirements","Communities and Villas documents acquired"
Fire and life safety,"UAE Fire and Life Safety Code of Practice 2018, temporary-buildings guide and unofficial English Circular 03/2026","UAE FLS Code 2018; ADCDA-01; Circular 03/2026 translation",moderate,critical,"Official Arabic circulars, complete amendment register and Abu Dhabi Civil Defence submission checklists","Base code acquired; amendment authority and operational submission layer remain incomplete"
Accessibility,"Abu Dhabi International Accessibility Standards 2013 plus requirements embedded in other manuals","AD Accessibility Standards 2013",strong,medium,"Check for amendments, replacement code and implementation circulars","Dedicated source acquired"
Authority submission process,"As-built standard, authority-role references and official BIM submission phase/naming guidance","DMT-05; ISGL-01; ADM-BIM-002",partial,critical,"Current IDAS/Smart Hub manual; official stage/discipline matrix; ITC, NOC/eNOC and MePS manuals, checklists, forms and templates","ADM-BIM-002 confirms CD/PD/DD/FT BIM phase codes and Smart Hub route, but expressly leaves detailed deliverables project-specific through TIDP/MIDP"
Standard templates and drawings,"PVRS submission templates/calculators and some templates embedded in standards",partial,critical,"Authority cover sheets, registers, drawing frames, legends, colour conventions, layer standards, document naming and submission folder structures","Estidama templates acquired; IDAS/ITC/NOC/MePS submission templates remain missing"
BIM and information management,"ADM-BIM-002 BIM Documentation Guidelines for Infrastructure V1.0; discipline, phase, naming and CDE guidance","ADM-BIM-002",moderate,high,"Current amendments; EIR, LOD matrix, BIM object catalogue, QA/QC checklist and project templates","Do not treat ADM-BIM-002 as a complete IDAS discipline checklist; official phase table has CD, PD, DD and FT rather than the supplied three-stage percentage model"\n
